,AirfoilName
851,goe614-il
852,goe615-il
853,goe617-il
854,goe619-il
855,goe620-il
856,goe621-il
857,goe622-il
858,goe623-il
859,goe624-il
860,goe625-il
861,goe626-il
862,goe627-il
863,goe628-il
864,goe629-il
865,goe63-il
866,goe630-il
867,goe632-il
868,goe633-il
869,goe645-il
870,goe646-il
871,goe647-il
872,goe648-il
873,goe650-il
874,goe652-il
875,goe654-il
876,goe655-il
877,goe670-il
878,goe673-il
879,goe675-il
880,goe676-il
881,goe677-il
882,goe679-il
883,goe681-il
884,goe682-il
885,goe683-il
886,goe685-il
887,goe692-il
888,goe693-il
889,goe701-il
890,goe702-il
891,goe703-il
892,goe704-il
893,goe711-il
894,goe723-il
895,goe735-il
896,goe738-il
897,goe741-il
898,goe744-il
899,goe746-il
900,goe758-il
901,goe765-il
902,goe766-il
903,goe767-il
904,goe769-il
905,goe770-il
906,goe775-il
907,goe776-il
908,goe777-il
909,goe780-il
910,goe79-il
911,goe795-il
912,goe795sm-il
913,goe796-il
914,goe797-il
915,goe798-il
916,goe801-il
917,goe802-il
918,goe802a-il
919,goe802b-il
920,goe803h-il
921,goe804-il
922,goe81-il
923,goe92-il
924,griffith30symsuction-il
925,gs1-il
926,gu255118-il
927,hh02-il
928,hobie-il
929,hobiesm-il
930,hor04-il
931,hor07-il
932,hor12-il
933,hor20-il
934,hq010-il
935,hq07-il
936,hq09-il
937,hq1010-il
938,hq1012-il
939,hq108-il
940,hq109-il
941,hq1510-il
942,hq1511-il
943,hq1512-il
944,hq158-il
945,hq1585-il
946,hq159-il
947,hq159b-il
948,hq17-il
949,hq2010-il
950,hq2012-il
951,hq208-il
952,hq209-il
953,hq2090sm-il
954,hq2195-il
955,hq2510-il
956,hq2511-il
957,hq2512-il
958,hq258-il
959,hq259-il
960,hq2590sm-il
961,hq259b-il
962,hq300gd2-il
963,hq3010-il
964,hq3011-il
965,hq3012-il
966,hq3013-il
967,hq3014-il
968,hq3015-il
969,hq308-il
970,hq309-il
971,hq3510-il
972,hq3512-il
973,hq3513-il
974,hq3514-il
975,hq3518-il
976,hq358-il
977,hq359-il
978,hs1404-il
979,hs1430-il
980,hs1606-il
981,hs1620-il
982,hs1708-il
983,hs1712-il
984,hsnlf213-il
985,ht05-il
986,ht08-il
987,ht12-il
988,ht22-il
989,ht23-il
990,isa571-il
991,isa960-il
992,isa961-il
993,isa962-il
994,j5012-il
995,jn153-il
996,joukowsk-il
997,joukowsk0009-jf
998,joukowsk0015-jf
999,joukowsk0018-jf
1000,joukowsk0021-jf
1001,k1-il
1002,k2-il
1003,k3-il
1004,k3311-il
1005,k3311sm-il
1006,kc135a-il
1007,kc135b-il
1008,kc135c-il
1009,kc135d-il
1010,kc135winglet-il
1011,kenmar-il
1012,l1003-il
1013,l188root-il
1014,l188tip-il
1015,l7769-il
1016,la203a-il
1017,la2573a-il
1018,la5055-il
1019,lds2-il
